height,img_name,object_type,width,xmax,xmin,ymax,ymin,Gun,Knife,Pliers,Scissors,Wrench,area
467,P00343.jpg,Knife,667,70.344,16.102999999999998,425.333,54.655,0,1,0,0,0,20105.945398
467,P00343.jpg,Gun,667,446.644,215.271,262.451,94.158,1,0,0,0,0,38938.456289
467,P00343.jpg,Gun,667,196.625,22.036,393.947,292.213,1,0,0,0,0,17761.637325999996
509,P00420.jpg,Knife,672,503.787,181.022,300.21,166.91400000000004,0,1,0,0,0,43023.28343999998
606,P00445.jpg,Gun,840,389.581,168.64,370.762,200.127,1,0,0,0,0,37700.267535000006
606,P00445.jpg,Gun,840,201.728,84.32,281.583,152.378,1,0,0,0,0,15169.700640000006
606,P00445.jpg,Knife,840,210.267,83.25299999999999,575.1030000000002,223.3,0,1,0,0,0,44683.90624200003
606,P00445.jpg,Knife,840,62.973,33.088,514.012,159.4,0,1,0,0,0,10597.579619999999
565,P00467.jpg,Knife,565,384.085,87.586,403.291,348.951,0,1,0,0,0,16111.755659999992
350,P00473.jpg,Knife,511,401.268,78.565,282.677,138.297,0,1,0,0,0,46591.85914
578,P00514.jpg,Knife,740,367.649,62.999,292.684,155.384,0,1,0,0,0,41828.44500000001
578,P00514.jpg,Knife,740,476.722,63.93899999999999,240.443,101.133,0,1,0,0,0,57504.799730000006
578,P00514.jpg,Wrench,740,365.769,45.133,265.893,83.72,0,0,0,0,1,58411.222028
578,P00514.jpg,Wrench,740,314.053,46.074,218.341,131.27200000000002,0,0,0,0,1,23332.663550999994
595,P00523.jpg,Knife,787,373.0,87.0,332.31699999999995,228.899,0,1,0,0,0,29577.547999999984
595,P00523.jpg,Knife,787,450.0,62.0,412.294,277.851,0,1,0,0,0,52163.88399999999
595,P00523.jpg,Knife,787,449.0,81.0,483.30800000000005,253.03,0,1,0,0,0,84742.30400000002
595,P00523.jpg,Wrench,787,297.0,58.0,510.197,237.862,0,0,0,0,1,65088.06500000001
595,P00523.jpg,Wrench,787,301.0,55.0,448.146,277.851,0,0,0,0,1,41892.57000000001
643,P00544.jpg,Knife,849,482.215,56.097,504.416,313.677,0,1,0,0,0,81277.32120199999
643,P00544.jpg,Knife,849,330.107,187.708,597.55,268.22700000000003,0,1,0,0,0,46895.265877
641,P00572.jpg,Knife,738,659.23,275.695,549.641,259.222,0,1,0,0,0,111385.851165
641,P00572.jpg,Knife,738,684.549,310.391,488.735,312.701,0,1,0,0,0,65864.52937199999
790,P00588.jpg,Knife,1512,685.875,484.147,529.1080000000002,194.067,0,1,0,0,0,67587.15084800003
790,P00588.jpg,Knife,1512,860.706,366.953,480.591,292.932,0,1,0,0,0,92657.194227
736,P00590.jpg,Knife,1536,1504.77,1215.92,475.884,185.066,0,1,0,0,0,84002.77929999997
736,P00590.jpg,Knife,1536,1534.05,1073.44,380.366,215.768,0,1,0,0,0,75815.48477999997
811,P00592.jpg,Knife,1536,569.901,124.91,411.608,256.55,0,1,0,0,0,68999.41447799999
811,P00592.jpg,Knife,1536,525.011,150.282,481.149,159.757,0,1,0,0,0,120434.90276799997
637,P00598.jpg,Knife,838,503.652,63.88800000000001,408.92,205.936,0,1,0,0,0,89265.055776
637,P00598.jpg,Knife,838,463.189,148.00799999999995,442.136,194.864,0,1,0,0,0,77935.43623200002
692,P00618.jpg,Knife,678,404.905,45.659,459.462,165.984,0,1,0,0,0,105430.79758799997
692,P00618.jpg,Knife,678,431.611,74.089,437.01,221.312,0,1,0,0,0,77116.78035599999
659,P00620.jpg,Knife,679,395.149,88.00299999999999,468.096,131.342,0,1,0,0,0,103432.64408400001
659,P00620.jpg,Knife,679,452.954,77.649,379.517,245.121,0,1,0,0,0,50439.49077999999
557,P00622.jpg,Knife,704,428.483,16.102,467.932,191.045,0,1,0,0,0,114182.93794700003
557,P00622.jpg,Knife,704,444.584,56.356,458.896,241.388,0,1,0,0,0,84442.69582400001
649,P00626.jpg,Knife,736,407.746,47.695,472.273,166.95,0,1,0,0,0,109931.851473
649,P00626.jpg,Knife,736,442.348,61.723,413.615,251.929,0,1,0,0,0,61541.73375
560,P00628.jpg,Knife,770,392.338,86.09899999999998,465.91,128.482,0,1,0,0,0,103333.61329200001
560,P00628.jpg,Knife,770,463.761,75.337,360.788,253.72,0,1,0,0,0,41587.78083200001
645,P00630.jpg,Knife,819,347.581,175.872,570.261,215.997,0,1,0,0,0,60830.31717599999
645,P00630.jpg,Knife,819,515.127,80.131,502.2480000000001,284.757,0,1,0,0,0,94607.71503600004
668,P00633.jpg,Knife,649,422.221,197.091,430.36800000000005,124.621,0,1,0,0,0,68832.82211000001
668,P00633.jpg,Knife,649,522.828,163.281,369.99300000000005,126.943,0,1,0,0,0,87387.89835000002
748,P00639.jpg,Knife,549,320.192,153.469,542.582,216.686,0,1,0,0,0,54334.358808
748,P00639.jpg,Knife,549,449.943,96.267,505.312,217.553,0,1,0,0,0,101773.452084
710,P00641.jpg,Knife,650,336.976,223.825,570.139,224.6,0,1,0,0,0,39098.083389
710,P00641.jpg,Knife,650,497.205,149.49200000000005,550.394,241.877,0,1,0,0,0,107275.37162099998
782,P00643.jpg,Knife,818,443.82,41.576,476.63,239.221,0,1,0,0,0,95496.345796
782,P00643.jpg,Knife,818,424.071,61.324,508.345,284.528,0,1,0,0,0,81188.945299
558,P00645.jpg,Knife,664,436.198,127.4,536.663,214.665,0,1,0,0,0,99432.33840400001
558,P00645.jpg,Knife,664,417.637,202.49,521.145,168.75799999999995,0,1,0,0,0,75815.00588900001
641,P00651.jpg,Knife,579,476.737,229.54,587.521,228.769,0,1,0,0,0,88682.418144
641,P00651.jpg,Knife,579,473.794,113.299,585.293,280.02,0,1,0,0,0,110049.39013500001
408,P00654.jpg,Knife,542,263.769,1.3769999999999998,297.372,128.593,0,1,0,0,0,44286.259368000006
408,P00654.jpg,Knife,542,318.8640000000001,42.699,297.845,158.378,0,1,0,0,0,38515.90405500002
408,P00654.jpg,Gun,542,237.598,70.935,249.149,152.232,1,0,0,0,0,16152.477971000002
408,P00654.jpg,Knife,542,198.343,40.633,286.498,243.949,0,1,0,0,0,6710.402789999996
408,P00654.jpg,Wrench,542,148.757,35.123000000000005,310.61,117.247,0,0,0,0,1,21972.611142
408,P00654.jpg,Wrench,542,539.245,188.013,303.518,217.474,0,0,0,0,1,30221.406207999993
644,P00655.jpg,Knife,830,490.407,95.972,367.893,246.257,0,1,0,0,0,47977.495659999986
644,P00655.jpg,Knife,830,446.112,62.224,501.469,270.883,0,1,0,0,0,88519.19836800001
572,P00673.jpg,Gun,733,444.271,49.363,442.753,152.445,1,0,0,0,0,114644.95166400001
572,P00673.jpg,Gun,733,482.457,61.471,454.021,286.331,1,0,0,0,0,70595.14233999999
714,P00686.jpg,Knife,691,518.03,365.255,570.0419999999998,303.636,0,1,0,0,0,40700.17664999996
714,P00686.jpg,Knife,691,523.299,366.133,579.97,303.636,0,1,0,0,0,43430.309444
746,P00721.jpg,Knife,745,422.198,100.343,533.351,219.564,0,1,0,0,0,100993.914885
746,P00721.jpg,Knife,745,433.55800000000005,94.663,535.08,202.276,0,1,0,0,0,112785.61158000003
584,P00723.jpg,Knife,696,650.8969999999998,293.611,509.562,250.382,0,1,0,0,0,92601.38547999995
584,P00723.jpg,Knife,696,657.972,303.339,518.359,245.645,0,1,0,0,0,96713.38396200002
575,P00729.jpg,Knife,704,650.328,296.986,445.742,185.892,0,1,0,0,0,91815.91870000001
575,P00729.jpg,Knife,704,647.644,287.146,442.41,183.227,0,1,0,0,0,93434.953134
587,P00731.jpg,Knife,714,669.545,267.637,399.269,208.137,0,1,0,0,0,76817.47985599999
587,P00731.jpg,Knife,714,672.2669999999998,269.451,388.386,206.096,0,1,0,0,0,73429.32863999998
406,P00739.jpg,Knife,542,447.649,49.58600000000001,314.262,227.699,0,1,0,0,0,34457.52746899999
524,P00741.jpg,Knife,543,387.069,126.263,456.603,96.542,0,1,0,0,0,93906.06916600003
393,P00744.jpg,Knife,525,400.921,0.0,323.326,112.025,0,1,0,0,0,84715.00822100001
440,P00745.jpg,Knife,525,490.311,80.051,323.754,195.782,0,1,0,0,0,52501.792720000005
644,P00763.jpg,Knife,525,418.266,14.009,482.8130000000001,349.9840000000001,0,1,0,0,0,53697.053053
395,P00800.jpg,Knife,524,458.084,53.26600000000001,186.74400000000003,69.571,0,1,0,0,0,47433.73951400001
395,P00800.jpg,Wrench,524,451.426,183.1,227.022,190.406,0,0,0,0,1,9825.024815999997
395,P00800.jpg,Wrench,524,454.089,83.89299999999999,162.028,92.457,0,0,0,0,1,25754.905916
415,P00886.jpg,Knife,360,320.203,84.16799999999998,195.238,76.941,0,1,0,0,0,27922.232395
447,P00887.jpg,Knife,740,305.591,63.93899999999999,202.005,170.92700000000005,0,1,0,0,0,7510.060855999987
447,P00887.jpg,Knife,740,687.3439999999998,655.375,259.498,132.59799999999998,0,1,0,0,0,4056.866099999978
447,P00887.jpg,Knife,740,521.855,466.379,213.4,80.80199999999998,0,1,0,0,0,7356.0066480000005
447,P00887.jpg,Knife,740,710.8510000000001,518.094,138.813,32.114000000000004,0,1,0,0,0,20566.979143000004
447,P00887.jpg,Knife,740,549.123,501.169,204.594,68.37100000000001,0,1,0,0,0,6532.437742000008
1024,P00911.jpg,Knife,920,585.6669999999998,162.49,531.578,463.944,0,1,0,0,0,28621.153217999967
1024,P00915.jpg,Knife,928,426.856,247.624,594.466,373.766,0,1,0,0,0,39556.5024
1024,P00915.jpg,Knife,928,564.818,122.633,516.153,396.311,0,1,0,0,0,52992.334770000016
1024,P00916.jpg,Knife,928,554.206,116.737,720.2410000000001,595.6519999999998,0,1,0,0,0,54503.82524100013
1024,P00922.jpg,Knife,944,675.314,411.426,424.788,181.543,0,1,0,0,0,64189.436559999995
1024,P00922.jpg,Knife,944,599.746,152.335,678.711,531.578,0,1,0,0,0,65828.922663
653,P00961.jpg,Gun,870,433.342,249.835,441.891,349.5780000000001,1,0,0,0,0,16940.081690999985
653,P00961.jpg,Gun,870,305.108,110.546,250.455,101.393,1,0,0,0,0,29001.800844000005
653,P00961.jpg,Wrench,870,485.299,288.526,451.728,321.582,0,0,0,0,1,25609.218858
653,P00961.jpg,Pliers,870,457.662,154.765,312.502,136.19899999999998,0,0,1,0,0,53401.649791
811,P00994.jpg,Gun,1512,933.713,745.433,602.377,475.511,1,0,0,0,0,23886.330479999982
684,P01016.jpg,Gun,871,572.182,363.009,567.49,435.129,1,0,0,0,0,27686.347453
684,P01016.jpg,Pliers,871,648.5459999999998,354.155,274.23400000000004,106.206,0,0,1,0,0,49465.93094799998
684,P01016.jpg,Pliers,871,516.845,334.2340000000001,440.677,343.981,0,0,1,0,0,17657.753256
405,P01045.jpg,Gun,812,574.694,306.435,240.278,138.911,1,0,0,0,0,27192.610052999993
405,P01045.jpg,Gun,812,772.793,590.17,175.046,103.714,1,0,0,0,0,13026.863836000002
405,P01045.jpg,Gun,812,274.45,131.034,182.555,52.092,1,0,0,0,0,18710.481608000002
760,P01047.jpg,Gun,891,318.133,147.179,478.192,340.811,1,0,0,0,0,23485.831474000002
760,P01047.jpg,Gun,891,515.127,324.926,588.273,420.07,1,0,0,0,0,31992.378803
760,P01047.jpg,Pliers,891,734.7639999999999,465.3130000000001,501.089,406.86,0,0,1,0,0,25390.098278999976
772,P01062.jpg,Gun,558,312.6790000000001,198.526,443.699,279.101,1,0,0,0,0,18789.355494000014
772,P01062.jpg,Pliers,558,506.95,319.769,343.509,93.034,0,0,1,0,0,46884.160975
584,P01064.jpg,Gun,568,344.986,176.82299999999995,279.481,186.095,1,0,0,0,0,15704.069918000003
584,P01064.jpg,Gun,568,339.212,145.789,334.971,221.961,1,0,0,0,0,21858.733229999998
584,P01064.jpg,Gun,568,196.31,67.12100000000001,381.664,213.84,1,0,0,0,0,21681.014735999997
584,P01064.jpg,Gun,568,349.316,137.128,430.387,262.563,1,0,0,0,0,35610.238912
584,P01064.jpg,Gun,568,297.3520000000001,85.88600000000002,558.285,354.596,1,0,0,0,0,43073.298074000006
584,P01064.jpg,Gun,568,298.795,160.224,462.192,355.272,1,0,0,0,0,14816.011320000005
608,P01065.jpg,Gun,612,333.606,160.971,343.101,183.879,1,0,0,0,0,27487.28997
608,P01065.jpg,Gun,612,366.267,164.081,372.691,233.9,1,0,0,0,0,28061.597125999993
608,P01065.jpg,Gun,612,402.816,209.962,415.666,319.8520000000001,1,0,0,0,0,18478.11315599998
608,P01065.jpg,Gun,612,283.06,42.77,461.46,257.149,1,0,0,0,0,49093.89018999999
608,P01065.jpg,Gun,612,403.593,253.51,479.778,361.418,1,0,0,0,0,17763.823880000004
608,P01065.jpg,Gun,612,431.588,203.741,548.116,414.962,1,0,0,0,0,30338.739438
587,P01071.jpg,Gun,934,300.214,191.804,540.125,502.838,1,0,0,0,0,4042.2836699999975
585,P01072.jpg,Gun,931,294.262,192.85,540.408,501.125,1,0,0,0,0,3983.767596000002
750,P01118.jpg,Gun,578,415.954,277.646,468.24,281.76,1,0,0,0,0,25791.67584
750,P01118.jpg,Pliers,578,393.657,228.409,220.742,107.764,0,0,1,0,0,18669.388543999998
750,P01118.jpg,Pliers,578,380.437,130.72899999999998,633.5459999999998,453.65,0,0,1,0,0,44921.470367999966
636,P01130.jpg,Gun,554,316.069,125.301,170.239,20.635,1,0,0,0,0,28539.655872000007
636,P01130.jpg,Gun,554,533.586,370.272,634.526,439.968,1,0,0,0,0,31774.045211999994
407,P01181.jpg,Gun,594,593.245,430.216,194.775,101.868,1,0,0,0,0,15146.535303
493,P01182.jpg,Gun,817,530.479,317.665,281.061,165.666,1,0,0,0,0,24557.67153
493,P01182.jpg,Pliers,817,792.085,509.717,129.105,50.842,0,0,1,0,0,22098.966784
594,P01207.jpg,Gun,561,218.84,47.76,525.859,326.253,1,0,0,0,0,34148.594480000014
594,P01207.jpg,Gun,561,307.944,113.341,199.606,13.765999999999998,1,0,0,0,0,36165.02152
606,P01208.jpg,Gun,601,412.376,200.842,569.486,435.365,1,0,0,0,0,28371.15161399999
606,P01208.jpg,Gun,601,120.658,9.928,333.546,148.86700000000005,1,0,0,0,0,20449.505669999995
518,P01209.jpg,Gun,625,252.541,15.883,456.176,305.518,1,0,0,0,0,35654.420964000004
518,P01209.jpg,Gun,625,617.058,372.459,427.965,231.08900000000003,1,0,0,0,0,48155.67272399998
628,P01215.jpg,Gun,505,328.539,217.529,583.611,416.969,1,0,0,0,0,18498.928419999997
628,P01215.jpg,Gun,505,505.0,383.723,489.01,300.538,1,0,0,0,0,22857.318743999997
577,P01220.jpg,Gun,585,327.80800000000005,134.543,221.306,50.145,1,0,0,0,0,33079.43066500001
577,P01220.jpg,Gun,585,202.186,51.29,264.096,89.59200000000001,1,0,0,0,0,26331.955584000003
577,P01224.jpg,Gun,525,402.255,236.817,254.067,142.411,1,0,0,0,0,18472.145328
577,P01224.jpg,Gun,525,369.568,180.781,314.241,118.342,1,0,0,0,0,36983.18451299999
581,P01229.jpg,Gun,540,460.407,312.884,416.05800000000005,243.71,1,0,0,0,0,25425.294004
581,P01229.jpg,Gun,540,260.737,86.455,222.167,50.492,1,0,0,0,0,29919.86235000001
774,P01234.jpg,Gun,1512,459.172,363.111,245.743,81.615,1,0,0,0,0,15766.299808000005
774,P01234.jpg,Gun,1512,151.776,0.0,659.2,517.495,1,0,0,0,0,21507.418080000007
606,P01239.jpg,Gun,835,348.005,163.393,330.737,187.488,1,0,0,0,0,26445.484388000004
559,P01240.jpg,Gun,818,699.51,471.883,153.514,16.194000000000006,1,0,0,0,0,31257.73964
559,P01240.jpg,Gun,818,416.795,258.808,495.521,446.941,1,0,0,0,0,7675.008460000007
777,P01246.jpg,Gun,543,542.31,415.357,634.745,442.071,1,0,0,0,0,24460.542321999983
777,P01246.jpg,Gun,543,138.68200000000002,6.21,411.459,219.685,1,0,0,0,0,25404.685328000003
464,P01247.jpg,Gun,813,643.582,410.116,415.073,283.346,1,0,0,0,0,30753.775781999997
464,P01247.jpg,Gun,813,193.178,56.817,268.29200000000003,125.812,1,0,0,0,0,19428.71528
348,P01257.jpg,Gun,582,568.689,455.543,296.385,251.625,1,0,0,0,0,5064.414959999997
755,P01260.jpg,Gun,903,536.981,372.903,232.711,88.36,1,0,0,0,0,23684.823377999997
749,P01262.jpg,Gun,907,356.116,183.24400000000003,535.496,456.517,1,0,0,0,0,13653.257687999994
459,P01267.jpg,Gun,822,581.771,373.921,234.553,144.667,1,0,0,0,0,18682.805099999998
727,P01271.jpg,Gun,912,608.386,477.4380000000001,620.856,539.985,1,0,0,0,0,10589.895707999987
727,P01271.jpg,Pliers,912,432.244,156.442,557.6759999999998,406.042,0,0,1,0,0,41820.96046799996
727,P01271.jpg,Pliers,912,664.01,566.668,608.22,481.016,0,0,1,0,0,12382.291768
755,P01278.jpg,Gun,920,487.471,407.98,426.929,327.196,1,0,0,0,0,7927.875902999995
755,P01278.jpg,Gun,920,600.864,429.022,438.302,314.073,1,0,0,0,0,21347.759818000013
755,P01278.jpg,Pliers,920,369.403,223.278,589.6519999999998,462.798,0,0,1,0,0,18536.54074999998
755,P01278.jpg,Pliers,920,675.68,396.29,411.182,276.454,0,0,1,0,0,37641.65591999999
581,P01279.jpg,Gun,548,120.463,16.015,235.632,113.103,1,0,0,0,0,12797.908992
509,P01285.jpg,Gun,580,563.7869999999998,400.17800000000005,212.329,87.881,1,0,0,0,0,20360.81283199997
509,P01285.jpg,Pliers,580,363.329,145.184,402.835,227.074,0,0,1,0,0,38341.383344999995
764,P01294.jpg,Gun,896,403.029,214.038,656.8810000000002,495.759,1,0,0,0,0,30450.607902000032
764,P01294.jpg,Wrench,896,648.945,571.5269999999998,308.964,49.576,0,0,0,0,1,20081.300184000058
764,P01294.jpg,Pliers,896,347.24300000000005,122.958,581.632,343.49,0,0,1,0,0,53411.67847
586,P01314.jpg,Gun,507,410.367,211.948,315.068,144.63299999999995,1,0,0,0,0,33817.54226500001
497,P01315.jpg,Gun,596,309.738,170.394,230.359,42.61600000000001,1,0,0,0,0,26160.860591999997
498,P01316.jpg,Gun,600,311.817,173.825,237.17,43.856,1,0,0,0,0,26675.785488
594,P01326.jpg,Gun,825,646.7919999999998,503.177,260.86400000000003,220.255,1,0,0,0,0,5832.061534999996
594,P01326.jpg,Gun,825,614.295,419.314,256.735,209.93,1,0,0,0,0,9126.085704999998
741,P01328.jpg,Gun,580,281.525,176.137,304.815,145.109,1,0,0,0,0,16831.095927999995
741,P01328.jpg,Gun,580,256.468,180.55900000000003,369.212,207.789,1,0,0,0,0,12253.458507
738,P01336.jpg,Gun,897,508.338,367.006,388.241,260.823,1,0,0,0,0,18008.240776000006
781,P01337.jpg,Gun,552,319.136,184.468,478.736,310.409,1,0,0,0,0,22668.260436000004
577,P01354.jpg,Gun,540,249.072,109.098,399.822,250.056,1,0,0,0,0,20963.346083999997
596,P01358.jpg,Gun,519,404.912,292.803,371.55,238.952,1,0,0,0,0,14865.429181999998
495,P01359.jpg,Gun,600,346.125,194.409,285.643,193.297,1,0,0,0,0,14010.365735999996
495,P01360.jpg,Gun,606,356.516,202.513,281.628,191.576,1,0,0,0,0,13868.278156
546,P01362.jpg,Gun,1512,1024.01,733.9060000000002,272.051,170.19,1,0,0,0,0,29550.28354399998
628,P01364.jpg,Gun,602,270.785,91.027,485.372,296.171,1,0,0,0,0,34010.39335800001
577,P01366.jpg,Gun,628,495.537,298.44,472.03,377.758,1,0,0,0,0,18580.728384
597,P01367.jpg,Gun,590,449.809,321.6140000000001,359.722,188.854,1,0,0,0,0,21904.423259999985
392,P01369.jpg,Gun,596,193.113,139.344,288.89,102.656,1,0,0,0,0,10013.615946
629,P01391.jpg,Gun,550,221.537,114.612,309.762,154.517,1,0,0,0,0,16599.571625
629,P01391.jpg,Gun,550,526.938,341.042,573.607,428.565,1,0,0,0,0,26962.727632
503,P01400.jpg,Gun,682,287.705,84.05799999999998,257.03700000000003,134.056,1,0,0,0,0,25044.711707000002
503,P01400.jpg,Gun,682,338.834,119.588,500.669,363.116,1,0,0,0,0,30157.945038
582,P01403.jpg,Gun,649,366.145,204.513,363.497,207.713,1,0,0,0,0,25179.679487999998
582,P01403.jpg,Gun,649,523.653,296.05,529.3969999999998,362.823,1,0,0,0,0,37912.74212199997
660,P01408.jpg,Gun,583,402.2480000000001,257.053,422.92,254.67,1,0,0,0,0,24429.058750000022
660,P01408.jpg,Gun,583,583.0,408.174,380.857,221.02,1,0,0,0,0,27943.663362000007
517,P01413.jpg,Gun,674,291.182,123.324,322.301,211.473,1,0,0,0,0,18603.366423999996
517,P01413.jpg,Gun,674,336.57199999999995,127.606,504.419,367.831,1,0,0,0,0,28542.248007999988
595,P01416.jpg,Gun,651,342.457,153.03,443.32,281.987,1,0,0,0,0,30560.826190999993
595,P01416.jpg,Gun,651,472.327,253.121,575.695,408.158,1,0,0,0,0,36725.115622000005
590,P01424.jpg,Gun,627,341.783,137.032,176.385,13.673,1,0,0,0,0,33315.444712
590,P01424.jpg,Gun,627,464.474,286.014,283.036,118.957,1,0,0,0,0,29281.53834
583,P01431.jpg,Gun,656,474.287,263.4,533.009,389.793,1,0,0,0,0,30202.392592
583,P01431.jpg,Gun,656,570.9780000000002,382.597,441.81,297.918,1,0,0,0,0,27106.518852000027
585,P01432.jpg,Gun,655,471.9,261.334,532.804,390.452,1,0,0,0,0,29974.49123199999
585,P01432.jpg,Gun,655,565.947,382.014,441.292,300.295,1,0,0,0,0,25934.001200999992
